frame_id,state,num_keyframes,num_mappoints,mnTracked,mnTrackedVO,num_orb_features
1,1,0,0,0,0,7546
2,1,0,0,0,0,7540
2,1,0,0,0,0,7540
2,1,0,0,0,0,7540
2,1,0,0,0,0,7540
2,1,0,0,0,0,7540
2,1,0,0,0,0,7540
2,1,0,0,0,0,7540
2,1,0,0,0,0,7540
3,1,0,0,0,0,7554
3,1,0,0,0,0,7554
3,1,0,0,0,0,7554
3,1,0,0,0,0,7554
3,1,0,0,0,0,7554
3,1,0,0,0,0,7554
4,1,0,0,0,0,7526
4,1,0,0,0,0,7526
4,1,0,0,0,0,7526
4,1,0,0,0,0,7526
4,1,0,0,0,0,7526
4,1,0,0,0,0,7526
5,1,0,0,0,0,7528
5,1,0,0,0,0,7528
5,1,0,0,0,0,7528
5,1,0,0,0,0,7528
5,1,0,0,0,0,7528
5,1,0,0,0,0,7528
6,1,0,0,0,0,7540
6,1,0,0,0,0,7540
6,1,0,0,0,0,7540
6,1,0,0,0,0,7540
6,1,0,0,0,0,7540
7,1,0,0,0,0,7535
7,1,0,0,0,0,7535
7,1,0,0,0,0,7535
7,1,0,0,0,0,7535
7,1,0,0,0,0,7535
7,1,0,0,0,0,7535
8,1,0,0,0,0,7519
8,1,0,0,0,0,7519
8,1,0,0,0,0,7519
8,1,0,0,0,0,7519
9,1,0,0,0,0,7505
9,1,0,0,0,0,7505
9,1,0,0,0,0,7505
9,1,0,0,0,0,7505
9,1,0,0,0,0,7505
10,1,0,0,0,0,7537
10,1,0,0,0,0,7537
10,1,0,0,0,0,7537
10,1,0,0,0,0,7537
10,1,0,0,0,0,7537
11,1,0,0,0,0,7507
11,1,0,0,0,0,7507
11,1,0,0,0,0,7507
11,1,0,0,0,0,7507
12,1,0,0,0,0,7545
12,1,0,0,0,0,7545
12,1,0,0,0,0,7545
12,1,0,0,0,0,7545
13,1,0,0,0,0,7495
13,1,0,0,0,0,7495
13,1,0,0,0,0,7495
13,1,0,0,0,0,7495
13,1,0,0,0,0,7495
14,1,0,0,0,0,7508
14,1,0,0,0,0,7508
14,1,0,0,0,0,7508
14,1,0,0,0,0,7508
15,1,0,0,0,0,7506
15,1,0,0,0,0,7506
15,1,0,0,0,0,7506
15,1,0,0,0,0,7506
16,1,0,0,0,0,7472
16,1,0,0,0,0,7472
16,1,0,0,0,0,7472
16,1,0,0,0,0,7472
17,1,0,0,0,0,7481
17,1,0,0,0,0,7481
17,1,0,0,0,0,7481
17,1,0,0,0,0,7481
18,1,0,0,0,0,7505
18,1,0,0,0,0,7505
18,1,0,0,0,0,7505
18,1,0,0,0,0,7505
18,1,0,0,0,0,7505
19,1,0,0,0,0,7489
19,1,0,0,0,0,7489
19,1,0,0,0,0,7489
19,1,0,0,0,0,7489
20,1,0,0,0,0,7500
20,1,0,0,0,0,7500
20,1,0,0,0,0,7500
20,1,0,0,0,0,7500
21,1,0,0,0,0,7462
21,1,0,0,0,0,7462
21,1,0,0,0,0,7462
21,1,0,0,0,0,7462
21,1,0,0,0,0,7462
21,1,0,0,0,0,7462
21,1,0,0,0,0,7462
21,1,0,0,0,0,7462
22,1,0,0,0,0,7476
23,2,2,341,153,0,3979
24,2,2,341,199,0,3989
24,2,3,282,199,0,3989
25,2,3,348,180,0,3973
26,2,3,348,219,0,3964
26,2,3,348,219,0,3964
27,2,4,300,209,0,3974
28,2,4,414,188,0,3961
28,2,4,411,188,0,3961
29,2,4,411,260,0,3959
30,2,4,411,228,0,3977
30,2,5,397,228,0,3977
31,2,5,483,208,0,3969
31,2,5,511,208,0,3969
32,2,5,558,281,0,3970
33,2,5,558,311,0,3970
33,2,5,558,311,0,3970
34,2,5,558,296,0,3963
34,2,6,529,296,0,3963
35,2,6,697,288,0,3953
36,2,6,721,382,0,3966
36,2,6,701,382,0,3966
37,2,6,701,373,0,3964
37,2,6,701,373,0,3964
38,2,7,666,357,0,3958
39,2,7,669,346,0,3951
39,2,7,747,346,0,3951
40,2,7,827,383,0,3973
40,2,7,843,383,0,3973
41,2,7,820,434,0,3958
41,2,7,820,434,0,3958
42,2,7,820,391,0,3971
42,2,6,776,391,0,3971
43,2,6,776,379,0,3973
44,2,7,731,362,0,3970
44,2,7,796,362,0,3970
45,2,7,873,376,0,3967
45,2,7,874,376,0,3967
46,2,7,868,418,0,3962
47,2,7,868,387,0,3962
47,2,7,868,387,0,3962
48,2,7,868,348,0,3959
48,2,7,868,348,0,3959
48,2,8,844,348,0,3959
49,2,8,854,341,0,3951
49,2,8,921,341,0,3951
50,2,8,938,355,0,3966
50,2,8,982,355,0,3966
50,2,8,983,355,0,3966
51,2,8,972,392,0,3966
51,2,8,972,392,0,3966
52,2,8,972,371,0,3972
52,2,8,972,371,0,3972
53,2,8,972,345,0,3973
53,2,8,972,345,0,3973
54,2,8,972,358,0,3966
54,2,9,928,358,0,3966
55,2,9,1004,346,0,3967
55,2,9,1072,346,0,3967
56,2,9,1067,443,0,3958
57,2,9,1060,443,0,3951
57,2,9,1060,429,0,3951
58,2,9,1060,407,0,3947
59,2,7,964,362,0,3952
59,2,8,940,362,0,3952
60,2,8,1019,362,0,3954
61,2,8,1094,412,0,3962
61,2,8,1060,412,0,3962
62,2,8,1060,403,0,3964
63,2,8,1060,386,0,3951
63,2,8,1060,386,0,3951
64,2,8,1060,390,0,3965
65,2,9,1100,377,0,3954
65,2,9,1194,377,0,3954
66,2,9,1187,460,0,3958
67,2,9,1181,446,0,3960
67,2,9,1172,446,0,3960
68,2,9,1172,404,0,3957
68,2,9,1172,404,0,3957
69,2,9,1172,403,0,3962
70,2,9,1172,394,0,3944
70,2,10,1122,394,0,3944
71,2,10,1245,362,0,3974
71,2,10,1293,362,0,3974
72,2,10,1319,467,0,3950
72,2,10,1278,467,0,3950
73,2,10,1273,435,0,3938
74,2,10,1273,416,0,3941
74,2,10,1273,416,0,3941
75,2,10,1272,417,0,3956
76,2,10,1272,393,0,3950
76,2,10,1272,393,0,3950
77,2,11,1313,383,0,3926
77,2,11,1389,383,0,3926
78,2,11,1409,467,0,3952
79,2,11,1384,467,0,3951
79,2,11,1379,467,0,3951
80,2,11,1372,439,0,3950
80,2,11,1372,439,0,3950
81,2,11,1372,399,0,3951
82,2,11,1372,405,0,3962
83,2,10,1326,397,0,3939
83,2,10,1326,397,0,3939
84,2,11,1352,361,0,3939
84,2,11,1466,361,0,3939
85,2,11,1486,466,0,3943
85,2,11,1516,466,0,3943
86,2,11,1449,439,0,3940
86,2,11,1437,439,0,3940
87,2,11,1437,402,0,3927
88,2,11,1437,388,0,3946
88,2,11,1437,388,0,3946
89,2,11,1437,366,0,3921
90,2,11,1437,361,0,3930
90,2,11,1437,361,0,3930
91,2,11,1437,351,0,3944
92,2,12,1461,323,0,3939
92,2,12,1533,323,0,3939
93,2,12,1558,425,0,3939
93,2,12,1563,425,0,3939
94,2,12,1547,431,0,3943
94,2,12,1543,431,0,3943
95,2,12,1540,404,0,3949
95,2,12,1540,404,0,3949
96,2,12,1540,392,0,3932
97,2,12,1540,384,0,3950
97,2,12,1540,384,0,3950
98,2,12,1540,366,0,3939
99,2,12,1540,363,0,3947
99,2,13,1487,363,0,3947
100,2,13,1633,363,0,3943
100,2,13,1683,363,0,3943
101,2,13,1693,444,0,3933
102,2,13,1680,428,0,3936
102,2,13,1666,428,0,3936
103,2,13,1655,397,0,3927
103,2,13,1655,397,0,3927
104,2,13,1655,388,0,3918
105,2,13,1655,337,0,3918
105,2,13,1655,337,0,3918
106,2,13,1655,327,0,3912
106,2,13,1655,327,0,3912
107,2,13,1655,316,0,3915
108,2,14,1688,302,0,3926
108,2,14,1769,302,0,3926
109,2,14,1794,410,0,3921
109,2,14,1808,410,0,3921
110,2,14,1764,419,0,3932
110,2,14,1761,419,0,3932
111,2,14,1757,368,0,3928
112,2,14,1757,358,0,3925
112,2,14,1757,358,0,3925
113,2,14,1757,340,0,3919
113,2,14,1757,340,0,3919
114,2,14,1756,335,0,3920
115,2,13,1713,323,0,3902
