# 
# Header Description:
# 
# Version: v3.10.5 (24099-google), Manufacturer: Xiaomi, Model: M2012K11AG, GNSS HW Year: 2020, Platform: 12, API Level: 32 
# 
# Raw GNSS measurements format:
#   Raw,utcTimeMillis,TimeNanos,LeapSecond,TimeUncertaintyNanos,FullBiasNanos,BiasNanos,BiasUncertaintyNanos,DriftNanosPerSecond,DriftUncertaintyNanosPerSecond,HardwareClockDiscontinuityCount,Svid,TimeOffsetNanos,State,ReceivedSvTimeNanos,ReceivedSvTimeUncertaintyNanos,Cn0DbHz,PseudorangeRateMetersPerSecond,PseudorangeRateUncertaintyMetersPerSecond,AccumulatedDeltaRangeState,AccumulatedDeltaRangeMeters,AccumulatedDeltaRangeUncertaintyMeters,CarrierFrequencyHz,CarrierCycles,CarrierPhase,CarrierPhaseUncertainty,MultipathIndicator,SnrInDb,ConstellationType,AgcDb,BasebandCn0DbHz,FullInterSignalBiasNanos,FullInterSignalBiasUncertaintyNanos,SatelliteInterSignalBiasNanos,SatelliteInterSignalBiasUncertaintyNanos,CodeType,ChipsetElapsedRealtimeNanos
# 
# Location fix format: (This is the one we want**************)
#   Fix,Provider,LatitudeDegrees,LongitudeDegrees,AltitudeMeters,SpeedMps,AccuracyMeters,BearingDegrees,UnixTimeMillis,SpeedAccuracyMps,BearingAccuracyDegrees,elapsedRealtimeNanos,VerticalAccuracyMeters,MockLocation
# 
# Navigation message format:
#   Nav,Svid,Type,Status,MessageId,Sub-messageId,Data(Bytes)
# 
# NMEA format (for [NMEA sentence] format see https://en.wikipedia.org/wiki/NMEA_0183):
#   NMEA,[NMEA sentence],(UTC)TimeInMs
# 
# GnssAntennaInfo format (https://developer.android.com/reference/android/location/GnssAntennaInfo):
#   GnssAntennaInfo,CarrierFrequencyMHz,PhaseCenterOffsetXOffsetMm,PhaseCenterOffsetXOffsetUncertaintyMm,PhaseCenterOffsetYOffsetMm,PhaseCenterOffsetYOffsetUncertaintyMm,PhaseCenterOffsetZOffsetMm,PhaseCenterOffsetZOffsetUncertaintyMm,PhaseCenterVariationCorrectionsArray,PhaseCenterVariationCorrectionUncertaintiesArray,PhaseCenterVariationCorrectionsDeltaPhi,PhaseCenterVariationCorrectionsDeltaTheta,SignalGainCorrectionsArray,SignalGainCorrectionUncertaintiesArray,SignalGainCorrectionsDeltaPhi,SignalGainCorrectionsDeltaTheta
# 
# GnssStatus format (https://developer.android.com/reference/android/location/GnssStatus):
#   Status,UnixTimeMillis,SignalCount,SignalIndex,ConstellationType,Svid,CarrierFrequencyHz,Cn0DbHz,AzimuthDegrees,ElevationDegrees,UsedInFix,HasAlmanacData,HasEphemerisData,BasebandCn0DbHz
# Orientation sensor format (https://developer.android.com/reference/android/hardware/SensorEvent#values):
#   OrientationDeg,utcTimeMillis,elapsedRealtimeNanos,yawDeg,rollDeg,pitchDeg
Fix,gps,52.17133442,0.17104073,89.46832275390625,0.0,3.7900925,0.0,1741096837000,0.086023256,,327931202925016,2.5,0
Fix,gps,52.17133516,0.17104432,89.36175537109375,0.0,3.7900925,0.0,1741096838000,0.086023256,,327932212026526,2.5,0
Fix,gps,52.17133518,0.1710494,89.0106201171875,0.16,3.7900925,55.3,1741096839000,1.1200446,95.584885,327933213083452,2.5,0
Fix,gps,52.171337,0.1710474,88.3331298828125,0.0,3.7900925,0.0,1741096840000,0.086023256,,327934208121681,2.5,0
Fix,gps,52.17133599,0.17105061,88.05279541015625,0.0,3.7900925,0.0,1741096841000,0.086023256,,327935216520066,2.5,0
Fix,gps,52.17133573,0.17105713,88.476318359375,0.0,3.7900925,0.0,1741096842000,0.086023256,,327936210200066,2.5,0
Fix,gps,52.17133573,0.17105634,88.33087158203125,0.0,3.7900925,0.0,1741096843000,0.086023256,,327937205597097,2.5,0
Fix,gps,52.1713372,0.17105484,88.1534423828125,0.0,3.7900925,0.0,1741096844000,0.086023256,,327938213610169,2.5,0
Fix,gps,52.17133831,0.17105466,87.832763671875,0.0,3.7900925,0.0,1741096845000,0.086023256,,327939203071783,2.5,0
Fix,gps,52.17133787,0.17105289,87.66015625,0.0,3.7900925,0.0,1741096846000,0.086023256,,327940209742512,2.5,0
Fix,gps,52.1713376,0.17105282,87.51025390625,0.0,3.7900925,0.0,1741096847000,0.086023256,,327941212358189,2.5,0
Fix,gps,52.17133854,0.17104996,87.32965087890625,0.0,3.7900925,0.0,1741096848000,0.086023256,,327942214522772,2.5,0
Fix,gps,52.17133934,0.17104834,87.05291748046875,0.0,3.7900925,0.0,1741096849000,0.086023256,,327943206310740,2.5,0
Fix,gps,52.17133926,0.17104787,86.95416259765625,0.0,3.7900925,0.0,1741096850000,0.086023256,,327944226419334,2.5,0
Fix,gps,52.1713393,0.17104774,86.91864013671875,0.0,3.7900925,0.0,1741096851000,0.086023256,,327945217972094,2.5,0
Fix,gps,52.17133933,0.17104766,86.89678955078125,0.0,3.7900925,0.0,1741096852000,0.086023256,,327946212751260,2.5,0
Fix,gps,52.1713393,0.17104767,86.89013671875,0.0,3.7900925,0.0,1741096853000,0.086023256,,327947205283291,2.5,0
Fix,gps,52.17133931,0.17104767,86.886474609375,0.0,3.7900925,0.0,1741096854000,0.086023256,,327948215266363,2.5,0
Fix,gps,52.17133932,0.17104766,86.8824462890625,0.0,3.7900925,0.0,1741096855000,0.086023256,,327949206633863,2.5,0
Fix,gps,52.17133916,0.17104846,86.92388916015625,0.0,3.7900925,0.0,1741096856000,0.086023256,,327950211281831,2.5,0
Fix,gps,52.17133915,0.17104837,86.906494140625,0.0,3.7900925,0.0,1741096857000,0.086023256,,327951217012039,2.5,0
Fix,gps,52.17133896,0.17104875,86.87322998046875,0.0,3.7900925,0.0,1741096858000,0.086023256,,327952204760476,2.5,0
Fix,gps,52.17133893,0.17104883,86.87799072265625,0.0,3.7900925,0.0,1741096859000,0.086023256,,327953207790320,2.5,0
Fix,gps,52.17133893,0.17104884,86.8780517578125,0.0,3.7900925,0.0,1741096860000,0.086023256,,327954219115059,2.5,0
Fix,gps,52.17133886,0.17104985,86.89215087890625,0.0,3.7900925,0.0,1741096861000,0.086023256,,327955221793913,2.5,0
Fix,gps,52.17133885,0.17104985,86.89263916015625,0.0,3.7900925,0.0,1741096862000,0.086023256,,327956213109589,2.5,0
Fix,gps,52.17133881,0.17104996,86.89324951171875,0.0,3.7900925,0.0,1741096863000,0.086023256,,327957211284537,2.5,0
