frame_id,state,num_keyframes,num_mappoints,mnTracked,mnTrackedVO,num_orb_features
1,1,0,0,0,0,8005
1,1,0,0,0,0,8005
1,1,0,0,0,0,8005
2,1,0,0,0,0,8006
2,1,0,0,0,0,8006
2,1,0,0,0,0,8006
2,1,0,0,0,0,8006
2,1,0,0,0,0,8006
2,1,0,0,0,0,8006
3,1,0,0,0,0,8010
3,1,0,0,0,0,8010
3,1,0,0,0,0,8010
3,1,0,0,0,0,8010
3,1,0,0,0,0,8010
3,1,0,0,0,0,8010
4,1,0,0,0,0,8009
4,1,0,0,0,0,8009
4,1,0,0,0,0,8009
4,1,0,0,0,0,8009
4,1,0,0,0,0,8009
5,1,0,0,0,0,7996
5,1,0,0,0,0,7996
5,1,0,0,0,0,7996
5,1,0,0,0,0,7996
5,1,0,0,0,0,7996
6,1,0,0,0,0,8004
6,1,0,0,0,0,8004
6,1,0,0,0,0,8004
6,1,0,0,0,0,8004
6,1,0,0,0,0,8004
7,1,0,0,0,0,8003
7,1,0,0,0,0,8003
7,1,0,0,0,0,8003
7,1,0,0,0,0,8003
7,1,0,0,0,0,8003
8,1,0,0,0,0,8008
8,1,0,0,0,0,8008
8,1,0,0,0,0,8008
8,1,0,0,0,0,8008
9,1,0,0,0,0,8008
9,1,0,0,0,0,8008
9,1,0,0,0,0,8008
9,1,0,0,0,0,8008
9,1,0,0,0,0,8008
10,1,0,0,0,0,8007
10,1,0,0,0,0,8007
10,1,0,0,0,0,8007
10,1,0,0,0,0,8007
10,1,0,0,0,0,8007
10,1,0,0,0,0,8007
11,1,0,0,0,0,8007
11,1,0,0,0,0,8007
11,1,0,0,0,0,8007
11,1,0,0,0,0,8007
11,1,0,0,0,0,8007
12,1,0,0,0,0,8003
12,1,0,0,0,0,8003
12,1,0,0,0,0,8003
12,1,0,0,0,0,8003
13,1,0,0,0,0,7995
13,1,0,0,0,0,7995
13,1,0,0,0,0,7995
13,1,0,0,0,0,7995
13,1,0,0,0,0,7995
13,1,0,0,0,0,7995
14,1,0,0,0,0,8005
14,1,0,0,0,0,8005
14,1,0,0,0,0,8005
14,1,0,0,0,0,8005
15,1,0,0,0,0,8007
15,1,0,0,0,0,8007
15,1,0,0,0,0,8007
15,1,0,0,0,0,8007
15,1,0,0,0,0,8007
16,1,0,0,0,0,8002
16,1,0,0,0,0,8002
16,1,0,0,0,0,8002
16,1,0,0,0,0,8002
17,1,0,0,0,0,8008
17,1,0,0,0,0,8008
17,1,0,0,0,0,8008
17,1,0,0,0,0,8008
17,1,0,0,0,0,8008
18,1,0,0,0,0,8005
18,1,0,0,0,0,8005
18,1,0,0,0,0,8005
18,1,0,0,0,0,8005
19,1,0,0,0,0,8007
19,1,0,0,0,0,8007
19,1,0,0,0,0,8007
19,1,0,0,0,0,8007
20,1,0,0,0,0,8009
20,1,0,0,0,0,8009
20,1,0,0,0,0,8009
20,1,0,0,0,0,8009
21,1,0,0,0,0,8007
21,1,0,0,0,0,8007
21,1,0,0,0,0,8007
21,1,0,0,0,0,8007
21,1,0,0,0,0,8007
21,1,0,0,0,0,8007
21,1,0,0,0,0,8007
21,1,0,0,0,0,8007
21,1,0,0,0,0,8007
22,1,0,0,0,0,8005
23,2,2,331,129,0,4007
23,2,2,331,129,0,4007
24,2,2,331,192,0,4006
25,2,3,282,181,0,4003
25,2,3,339,181,0,4003
26,2,3,338,203,0,4004
26,2,4,303,203,0,4004
27,2,4,378,228,0,4004
27,2,4,372,228,0,4004
28,2,4,372,228,0,4007
28,2,5,453,228,0,4007
29,2,5,481,280,0,4005
30,2,5,468,253,0,4008
30,2,5,468,253,0,4008
30,2,5,468,253,0,4008
31,2,5,468,249,0,4007
32,2,5,468,227,0,4010
32,2,6,438,227,0,4010
33,2,6,544,228,0,4008
33,2,6,665,228,0,4008
34,2,6,633,325,0,4010
34,2,6,633,325,0,4010
35,2,6,633,318,0,4005
35,2,7,703,318,0,4005
36,2,7,781,369,0,4006
36,2,7,808,369,0,4006
37,2,7,800,429,0,4007
38,2,7,800,403,0,4006
38,2,6,751,403,0,4006
39,2,6,751,403,0,4008
39,2,7,708,366,0,4008
40,2,7,781,404,0,4006
40,2,7,887,404,0,4006
41,2,7,851,429,0,4004
41,2,7,846,429,0,4004
42,2,7,845,423,0,4007
42,2,7,845,423,0,4007
43,2,7,845,409,0,4009
43,2,8,819,409,0,4009
44,2,8,933,420,0,4007
44,2,8,1027,420,0,4007
45,2,8,962,448,0,4005
45,2,8,962,448,0,4005
46,2,7,913,423,0,4006
46,2,7,913,423,0,4006
47,2,7,913,409,0,4004
47,2,8,902,409,0,4004
48,2,8,990,388,0,4010
48,2,8,1021,388,0,4010
49,2,8,1001,421,0,4006
49,2,8,1001,421,0,4006
50,2,8,1001,378,0,4008
50,2,8,1001,378,0,4008
51,2,8,1001,387,0,4008
51,2,9,1012,387,0,4008
52,2,9,1111,398,0,4008
52,2,9,1166,398,0,4008
53,2,9,1112,467,0,4007
54,2,9,1112,431,0,4006
54,2,9,1112,431,0,4006
55,2,9,1112,403,0,4006
55,2,10,1065,403,0,4006
56,2,10,1139,395,0,4007
56,2,10,1205,395,0,4007
57,2,10,1215,472,0,4006
57,2,10,1192,472,0,4006
58,2,10,1185,465,0,4006
58,2,10,1185,465,0,4006
59,2,10,1185,433,0,4008
59,2,10,1183,433,0,4008
60,2,8,1078,426,0,4006
60,2,9,1085,426,0,4006
61,2,9,1138,411,0,4005
61,2,9,1183,411,0,4005
62,2,9,1183,443,0,4009
62,2,9,1167,443,0,4009
63,2,9,1167,416,0,4006
64,2,9,1167,413,0,4005
64,2,9,1167,413,0,4005
65,2,9,1165,399,0,4004
65,2,9,1165,399,0,4004
66,2,9,1165,389,0,4006
66,2,10,1124,389,0,4006
67,2,10,1243,380,0,4006
67,2,10,1284,380,0,4006
68,2,10,1281,423,0,4008
68,2,10,1267,423,0,4008
69,2,10,1267,411,0,4004
69,2,10,1267,411,0,4004
70,2,10,1267,380,0,4010
70,2,9,1213,380,0,4010
71,2,9,1213,373,0,4007
71,2,10,1180,373,0,4007
72,2,10,1299,360,0,4005
73,2,10,1330,418,0,4005
73,2,10,1306,418,0,4005
74,2,10,1295,405,0,4005
75,2,10,1295,406,0,4005
75,2,10,1295,406,0,4005
76,2,10,1295,372,0,4010
76,2,11,1289,372,0,4010
77,2,11,1406,421,0,4004
77,2,11,1442,421,0,4004
78,2,11,1401,442,0,4008
79,2,11,1389,437,0,4006
79,2,11,1389,437,0,4006
80,2,11,1389,401,0,4009
80,2,11,1389,401,0,4009
81,2,10,1342,396,0,4005
81,2,10,1342,396,0,4005
82,2,11,1303,380,0,4006
83,2,11,1435,401,0,4006
83,2,11,1483,401,0,4006
84,2,11,1519,435,0,4006
84,2,11,1469,435,0,4006
85,2,11,1463,444,0,4005
86,2,11,1463,393,0,4007
86,2,11,1462,393,0,4007
87,2,11,1462,365,0,4004
87,2,12,1521,365,0,4004
88,2,12,1619,414,0,4010
89,2,12,1639,459,0,4007
89,2,12,1609,459,0,4007
90,2,12,1598,429,0,4007
90,2,12,1591,429,0,4007
91,2,12,1591,421,0,4009
91,2,12,1591,421,0,4009
92,2,12,1591,408,0,4006
92,2,12,1591,408,0,4006
93,2,12,1591,381,0,4007
93,2,13,1609,381,0,4007
94,2,13,1688,431,0,4005
95,2,13,1711,467,0,4007
95,2,13,1688,467,0,4007
96,2,13,1676,442,0,4007
97,2,13,1672,414,0,4006
97,2,13,1672,414,0,4006
98,2,13,1672,424,0,4004
98,2,13,1672,424,0,4004
99,2,13,1672,390,0,4005
100,2,14,1703,390,0,4004
100,2,14,1764,378,0,4004
101,2,14,1786,443,0,4006
101,2,14,1803,443,0,4006
102,2,14,1772,425,0,4005
102,2,14,1766,425,0,4005
103,2,14,1752,400,0,4007
103,2,14,1752,400,0,4007
104,2,14,1752,382,0,4011
104,2,14,1752,382,0,4011
105,2,13,1707,346,0,4010
105,2,14,1761,346,0,4010
106,2,14,1820,405,0,4007
106,2,14,1845,405,0,4007
107,2,14,1857,427,0,4007
107,2,14,1825,427,0,4007
