frame_id,state,num_keyframes,num_mappoints,mnTracked,mnTrackedVO,num_orb_features
1,1,0,0,0,0,7439
1,1,0,0,0,0,7439
1,1,0,0,0,0,7439
1,1,0,0,0,0,7439
2,1,0,0,0,0,7446
2,1,0,0,0,0,7446
2,1,0,0,0,0,7446
2,1,0,0,0,0,7446
2,1,0,0,0,0,7446
2,1,0,0,0,0,7446
2,1,0,0,0,0,7446
3,1,0,0,0,0,7452
3,1,0,0,0,0,7452
3,1,0,0,0,0,7452
3,1,0,0,0,0,7452
3,1,0,0,0,0,7452
3,1,0,0,0,0,7452
4,1,0,0,0,0,7438
4,1,0,0,0,0,7438
4,1,0,0,0,0,7438
4,1,0,0,0,0,7438
4,1,0,0,0,0,7438
4,1,0,0,0,0,7438
5,1,0,0,0,0,7426
5,1,0,0,0,0,7426
5,1,0,0,0,0,7426
5,1,0,0,0,0,7426
5,1,0,0,0,0,7426
5,1,0,0,0,0,7426
5,1,0,0,0,0,7426
6,1,0,0,0,0,7431
6,1,0,0,0,0,7431
6,1,0,0,0,0,7431
6,1,0,0,0,0,7431
6,1,0,0,0,0,7431
6,1,0,0,0,0,7431
7,1,0,0,0,0,7422
7,1,0,0,0,0,7422
7,1,0,0,0,0,7422
7,1,0,0,0,0,7422
7,1,0,0,0,0,7422
7,1,0,0,0,0,7422
8,1,0,0,0,0,7434
8,1,0,0,0,0,7434
8,1,0,0,0,0,7434
8,1,0,0,0,0,7434
8,1,0,0,0,0,7434
9,1,0,0,0,0,7449
9,1,0,0,0,0,7449
9,1,0,0,0,0,7449
9,1,0,0,0,0,7449
9,1,0,0,0,0,7449
9,1,0,0,0,0,7449
10,1,0,0,0,0,7429
10,1,0,0,0,0,7429
10,1,0,0,0,0,7429
10,1,0,0,0,0,7429
10,1,0,0,0,0,7429
11,1,0,0,0,0,7428
11,1,0,0,0,0,7428
11,1,0,0,0,0,7428
11,1,0,0,0,0,7428
11,1,0,0,0,0,7428
11,1,0,0,0,0,7428
12,1,0,0,0,0,7452
12,1,0,0,0,0,7452
12,1,0,0,0,0,7452
12,1,0,0,0,0,7452
12,1,0,0,0,0,7452
13,1,0,0,0,0,7428
13,1,0,0,0,0,7428
13,1,0,0,0,0,7428
13,1,0,0,0,0,7428
13,1,0,0,0,0,7428
14,1,0,0,0,0,7422
14,1,0,0,0,0,7422
14,1,0,0,0,0,7422
14,1,0,0,0,0,7422
14,1,0,0,0,0,7422
15,1,0,0,0,0,7402
15,1,0,0,0,0,7402
15,1,0,0,0,0,7402
15,1,0,0,0,0,7402
15,1,0,0,0,0,7402
16,1,0,0,0,0,7419
16,1,0,0,0,0,7419
16,1,0,0,0,0,7419
16,1,0,0,0,0,7419
16,1,0,0,0,0,7419
17,1,0,0,0,0,7406
17,1,0,0,0,0,7406
17,1,0,0,0,0,7406
17,1,0,0,0,0,7406
17,1,0,0,0,0,7406
17,1,0,0,0,0,7406
18,1,0,0,0,0,7423
18,1,0,0,0,0,7423
18,1,0,0,0,0,7423
18,1,0,0,0,0,7423
18,1,0,0,0,0,7423
19,1,0,0,0,0,7404
19,1,0,0,0,0,7404
19,1,0,0,0,0,7404
19,1,0,0,0,0,7404
19,1,0,0,0,0,7404
20,1,0,0,0,0,7422
20,1,0,0,0,0,7422
20,1,0,0,0,0,7422
20,1,0,0,0,0,7422
20,1,0,0,0,0,7422
20,1,0,0,0,0,7422
21,1,0,0,0,0,7414
21,1,0,0,0,0,7414
21,1,0,0,0,0,7414
21,1,0,0,0,0,7414
21,1,0,0,0,0,7414
21,1,0,0,0,0,7414
21,1,0,0,0,0,7414
21,1,0,0,0,0,7414
22,1,0,0,0,0,7432
22,1,0,0,0,0,7432
23,2,3,325,202,0,3974
23,2,3,325,202,0,3974
24,2,3,325,213,0,3961
24,2,3,325,213,0,3961
24,2,3,325,213,0,3961
25,2,3,325,205,0,3976
25,2,3,325,205,0,3976
25,2,3,325,205,0,3976
26,2,3,325,212,0,3965
26,2,3,325,212,0,3965
27,2,3,325,195,0,3951
27,2,4,268,195,0,3951
27,2,4,390,195,0,3951
28,2,4,375,257,0,3959
28,2,4,375,257,0,3959
29,2,4,375,230,0,3966
