frame_id,state,num_keyframes,num_mappoints,mnTracked,mnTrackedVO,num_orb_features
6,1,0,0,0,0,7504
6,1,0,0,0,0,7504
7,1,0,0,0,0,7481
7,1,0,0,0,0,7481
7,1,0,0,0,0,7481
7,1,0,0,0,0,7481
7,1,0,0,0,0,7481
8,1,0,0,0,0,7475
8,1,0,0,0,0,7475
8,1,0,0,0,0,7475
8,1,0,0,0,0,7475
9,1,0,0,0,0,7460
9,1,0,0,0,0,7460
9,1,0,0,0,0,7460
9,1,0,0,0,0,7460
9,1,0,0,0,0,7460
9,1,0,0,0,0,7460
10,1,0,0,0,0,7482
10,1,0,0,0,0,7482
10,1,0,0,0,0,7482
10,1,0,0,0,0,7482
11,1,0,0,0,0,7439
11,1,0,0,0,0,7439
11,1,0,0,0,0,7439
11,1,0,0,0,0,7439
11,1,0,0,0,0,7439
12,1,0,0,0,0,7487
12,1,0,0,0,0,7487
12,1,0,0,0,0,7487
12,1,0,0,0,0,7487
12,1,0,0,0,0,7487
13,1,0,0,0,0,7461
13,1,0,0,0,0,7461
13,1,0,0,0,0,7461
13,1,0,0,0,0,7461
14,1,0,0,0,0,7466
14,1,0,0,0,0,7466
14,1,0,0,0,0,7466
14,1,0,0,0,0,7466
15,1,0,0,0,0,7454
15,1,0,0,0,0,7454
15,1,0,0,0,0,7454
15,1,0,0,0,0,7454
16,1,0,0,0,0,7435
16,1,0,0,0,0,7435
16,1,0,0,0,0,7435
16,1,0,0,0,0,7435
16,1,0,0,0,0,7435
17,1,0,0,0,0,7437
17,1,0,0,0,0,7437
17,1,0,0,0,0,7437
17,1,0,0,0,0,7437
18,1,0,0,0,0,7478
18,1,0,0,0,0,7478
18,1,0,0,0,0,7478
18,1,0,0,0,0,7478
19,1,0,0,0,0,7440
19,1,0,0,0,0,7440
19,1,0,0,0,0,7440
19,1,0,0,0,0,7440
19,1,0,0,0,0,7440
19,1,0,0,0,0,7440
19,1,0,0,0,0,7440
19,1,0,0,0,0,7440
20,1,0,0,0,0,7443
21,2,2,324,127,0,3974
22,2,2,324,194,0,3978
22,2,3,294,194,0,3978
23,2,3,362,168,0,3974
24,2,3,362,168,0,3979
24,2,3,362,223,0,3979
25,2,3,362,206,0,3966
26,2,4,389,231,0,3965
26,2,4,387,231,0,3965
27,2,4,387,255,0,3960
